Campaign,Negative keyword,Criterion Type
PI-Urgente-Verona,lavoro,Broad
PI-Quartieri-Top8,lavoro,Broad
PI-Urgente-Verona,corso,Broad
PI-Quartieri-Top8,corso,Broad
PI-Urgente-Verona,fai da te,Broad
PI-Quartieri-Top8,fai da te,Broad
PI-Urgente-Verona,gratis,Broad
PI-Quartieri-Top8,gratis,Broad
PI-Urgente-Verona,stage,Broad
PI-Quartieri-Top8,stage,Broad
PI-Urgente-Verona,vendita,Broad
PI-Quartieri-Top8,vendita,Broad
PI-Urgente-Verona,usato,Broad
PI-Quartieri-Top8,usato,Broad
PI-Urgente-Verona,amazon,Broad
PI-Quartieri-Top8,amazon,Broad
PI-Urgente-Verona,preventivo online,Broad
PI-Quartieri-Top8,preventivo online,Broad
PI-Urgente-Verona,quanto costa,Broad
PI-Quartieri-Top8,quanto costa,Broad
PI-Urgente-Verona,media,Broad
PI-Quartieri-Top8,media,Broad